"X","CX","CY","IMS_SWISSCOORDINATE_X","IMS_SWISSCOORDINATE_Y","GUILD","CNHA","BIOIDX","BIOIDX_TX","BIOIDX_TXG","iflor","Category"
13704,676850,283950,676858,283943,12,67682839,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13705,676850,284050,676852,284047,12,67682840,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13706,676850,284150,676852,284147,12,67682841,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13710,676950,283850,676951,283849,12,67692838,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13711,676950,284050,676951,284047,12,67692840,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13713,676950,284350,676953,284352,12,67692843,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13714,676950,284450,676954,284444,12,67692844,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13715,676950,284650,676952,284646,12,67692846,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13720,677050,284550,677052,284543,12,67702845,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13721,677050,284750,677053,284746,12,67702847,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13723,677050,284850,677053,284842,12,67702848,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13729,677150,284450,677158,284446,12,67712844,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13730,677150,284550,677154,284548,12,67712845,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13731,677150,284650,677149,284645,12,67712846,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13732,677150,284750,677152,284747,12,67712847,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13733,677150,284850,677148,284842,12,67712848,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13741,677250,284450,677253,284447,12,67722844,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13742,677250,284550,677254,284551,12,67722845,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13743,677250,284950,677257,284946,12,67722849,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13744,677250,285050,677247,285051,12,67722850,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13745,677250,285150,677253,285149,12,67722851,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13746,677250,285250,677247,285248,12,67722852,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13753,677350,284850,677348,284851,12,67732848,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13754,677350,285150,677357,285151,12,67732851,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13764,677450,285050,677450,285045,12,67742850,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13765,677450,285150,677458,285152,12,67742851,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13766,677450,285250,677456,285247,12,67742852,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13774,677550,284550,677554,284549,12,67752845,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13775,677550,285250,677544,285244,12,67752852,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13776,677550,285350,677548,285351,12,67752853,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13778,677550,285450,677555,285443,12,67752854,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13781,677650,285150,677650,285151,12,67762851,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13793,677750,285650,677749,285649,12,67772856,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13798,677850,279450,677855,279447,12,67782794,6,6.27594300930074,6.27594300930074,0.2,"Sehr wertvoll"
13812,678150,284050,678151,284042,12,67812840,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13831,678550,279650,678551,279646,12,67852796,6,6.27594300930074,6.27594300930074,0.2,"Sehr wertvoll"
13858,678850,278750,678853,278784,12,67882787,10,10.5518860186015,5.27594300930074,0.4,"Wertvoll"
13878,678950,278750,678900,278750,12,67892787,10,10.5518860186015,5.27594300930074,0.4,"Wertvoll"
13924,679950,273550,679953,273547,12,67992735,6,6.23708717715206,6.23708717715206,0.2,"Wertvoll"
14024,682050,284650,682055,284649,12,68202846,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
14159,684050,264050,684000,264000,12,68402640,5,5.46937353450831,5.46937353450831,0.4,"Wertvoll"
14161,684050,284050,684050,284069,12,68402840,14,14.988682732705,4.99622757756833,0.8,"Wertvoll"
14176,684250,283950,684249,283951,12,68422839,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
14177,684250,284050,684248,284044,12,68422840,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
14184,684350,283950,684353,283948,12,68432839,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
14194,684550,283950,684547,283999,12,68452839,10,10.4943413663525,5.24717068317625,0.4,"Wertvoll"
14240,685150,269950,685150,269940,12,68512699,9,9.90022968614945,9.90022968614945,0.6,"Sehr wertvoll"
14594,689050,283350,689083,283317,12,68902833,6,6.57088251102425,6.57088251102425,0.4,"Sehr wertvoll"
14677,690350,236650,690344,236643,12,69032366,6,6.29541574347482,6.29541574347482,0.2,"Sehr wertvoll"
14707,690750,236250,690750,236250,12,69072362,6,6.29541574347482,6.29541574347482,0.2,"Sehr wertvoll"
15026,696350,233950,696318,233990,12,69632339,9,9.59687339929797,4.79843669964898,0.4,"Wertvoll"
15028,696350,234050,696346,234044,12,69632340,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15037,696450,234050,696455,234046,12,69642340,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15038,696450,234150,696456,234163,12,69642341,5,5.29843669964898,5.29843669964898,0.2,"Wertvoll"
15040,696450,234350,696450,234353,12,69642343,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15046,696550,233550,696555,233544,12,69652335,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15047,696550,233750,696576,233738,12,69652337,9,9.59687339929797,4.79843669964898,0.4,"Wertvoll"
15049,696550,233850,696551,233852,12,69652338,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15060,696650,233650,696655,233646,12,69662336,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15061,696650,233750,696652,233741,12,69662337,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15124,697750,232650,697755,232645,12,69772326,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15292,701650,277650,701650,277650,12,70162776,12,12.5855041156365,12.5855041156365,0.4,"Sehr wertvoll"
15297,701750,277150,701756,277148,12,70172771,6,6.29275205781826,6.29275205781826,0.2,"Sehr wertvoll"
15298,701750,277250,701755,277244,12,70172772,12,12.5855041156365,12.5855041156365,0.4,"Sehr wertvoll"
15300,701750,277350,701754,277351,12,70172773,12,12.5855041156365,12.5855041156365,0.4,"Sehr wertvoll"
15302,701750,277450,701753,277448,12,70172774,6,6.29275205781826,6.29275205781826,0.2,"Sehr wertvoll"
15303,701750,277650,701749,277647,12,70172776,6,6.29275205781826,6.29275205781826,0.2,"Sehr wertvoll"
15304,701750,277850,701750,277845,12,70172778,6,6.29275205781826,6.29275205781826,0.2,"Sehr wertvoll"
15308,701850,277250,701848,277248,12,70182772,6,6.29275205781826,6.29275205781826,0.2,"Sehr wertvoll"
15309,701850,277450,701855,277445,12,70182774,6,6.29275205781826,6.29275205781826,0.2,"Sehr wertvoll"
15408,703450,233050,703450,233047,12,70342330,6,6.29843669964898,6.29843669964898,0.2,"Sehr wertvoll"
15585,705150,281150,705155,281150,12,70512811,6,6.34098779683377,6.34098779683377,0.2,"Sehr wertvoll"
15592,705250,281050,705250,281048,12,70522810,6,6.34098779683377,6.34098779683377,0.2,"Sehr wertvoll"
15603,705350,281050,705352,281046,12,70532810,6,6.34098779683377,6.34098779683377,0.2,"Sehr wertvoll"
15609,705450,281050,705460,281090,12,70542810,11,12.0229633905013,6.01148169525066,0.6,"Wertvoll"
15627,706050,280750,706051,280747,12,70602807,6,6.34098779683377,6.34098779683377,0.2,"Sehr wertvoll"
15640,706350,280350,706349,280347,12,70632803,6,6.34098779683377,6.34098779683377,0.2,"Sehr wertvoll"
15641,706350,280450,706351,280444,12,70632804,6,6.34098779683377,6.34098779683377,0.2,"Sehr wertvoll"
15644,706450,280350,706421,280374,12,70642803,10,10.6819755936675,5.34098779683377,0.4,"Wertvoll"
15655,706650,280250,706650,280245,12,70662802,6,6.34098779683377,6.34098779683377,0.2,"Sehr wertvoll"
15661,706750,280350,706773,280348,12,70672803,10,10.6819755936675,5.34098779683377,0.4,"Wertvoll"
15668,706850,280250,706845,280294,12,70682802,10,10.6819755936675,5.34098779683377,0.4,"Wertvoll"
15673,706950,280350,706955,280347,12,70692803,6,6.43590470788429,6.43590470788429,0.2,"Sehr wertvoll"
15677,707050,280250,707056,280246,12,70702802,6,6.43590470788429,6.43590470788429,0.2,"Sehr wertvoll"
15678,707050,280350,707053,280348,12,70702803,6,6.43590470788429,6.43590470788429,0.2,"Sehr wertvoll"
15720,707550,280650,707551,280649,12,70752806,6,6.43590470788429,6.43590470788429,0.2,"Sehr wertvoll"
15795,708950,115850,708954,115849,12,70891158,6,6.31184966754114,6.31184966754114,0.2,"Sehr wertvoll"
15802,709250,115550,709256,115546,12,70921155,6,6.31184966754114,6.31184966754114,0.2,"Sehr wertvoll"
15803,709350,115650,709357,115644,12,70931156,6,6.31184966754114,6.31184966754114,0.2,"Sehr wertvoll"
15804,709350,115750,709353,115746,12,70931157,6,6.31184966754114,6.31184966754114,0.2,"Sehr wertvoll"
15811,709450,115650,709447,115649,12,70941156,6,6.31184966754114,6.31184966754114,0.2,"Sehr wertvoll"
15817,709550,115550,709555,115546,12,70951155,6,6.31184966754114,6.31184966754114,0.2,"Sehr wertvoll"
15841,709750,115850,709753,115846,12,70971158,6,6.31184966754114,6.31184966754114,0.2,"Sehr wertvoll"
16060,711850,115150,711853,115148,12,71181151,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16067,711950,114950,711949,114946,12,71191149,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16072,712050,94150,712051,94144,12,71200941,6,6.27789277661924,6.27789277661924,0.2,"Sehr wertvoll"
16077,712050,115150,712052,115142,12,71201151,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16081,712150,94350,712152,94345,12,71210943,6,6.27789277661924,6.27789277661924,0.2,"Sehr wertvoll"
16112,712450,115050,712451,115047,12,71241150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16154,712850,97150,712849,97145,12,71280971,6,6.32414282775599,6.32414282775599,0.2,"Sehr wertvoll"
16155,712850,97250,712853,97246,12,71280972,6,6.32414282775599,6.32414282775599,0.2,"Sehr wertvoll"
16156,712850,97350,712854,97348,12,71280973,6,6.32414282775599,6.32414282775599,0.2,"Sehr wertvoll"
16165,712950,97150,712951,97149,12,71290971,6,6.32414282775599,6.32414282775599,0.2,"Sehr wertvoll"
16166,712950,97250,712951,97252,12,71290972,6,6.32414282775599,6.32414282775599,0.2,"Sehr wertvoll"
16167,712950,97350,712952,97342,12,71290973,6,6.32414282775599,6.32414282775599,0.2,"Sehr wertvoll"
